Date,Open,High,Low,Close,Adj Close,Volume
2019-01-02,33.282989501953125,33.282989501953125,32.24505615234375,32.85792922973633,21.77802848815918,579957
2019-01-03,32.5218391418457,33.243446350097656,32.42298889160156,32.93701171875,21.830442428588867,826120
2019-01-04,33.31264114379883,33.59931182861328,33.18413543701172,33.4312629699707,22.158031463623047,962645
2019-01-07,33.708045959472656,33.90574645996094,33.243446350097656,33.53999710083008,22.230100631713867,1501743
2019-01-08,33.530113220214844,34.23195266723633,33.45103454589844,33.88597869873047,22.459409713745117,1264760
2019-01-09,34.18252944946289,34.52850341796875,33.95517349243164,34.18252944946289,22.65596580505371,634188
2019-01-10,33.846435546875,34.01448059082031,33.53999710083008,33.8958625793457,22.46596336364746,630459
2019-01-11,33.984825134277344,34.59770202636719,33.79701232910156,34.222068786621094,22.682172775268555,517799
2019-01-14,34.20229721069336,34.20229721069336,33.61907958984375,33.72781753540039,22.354583740234375,471160
2019-01-15,34.01448059082031,34.2616081237793,33.273101806640625,33.273101806640625,22.05320167541504,1018787
2019-01-16,33.381839752197266,33.74758529663086,33.26321792602539,33.74758529663086,22.36768341064453,596911
2019-01-17,33.57954025268555,34.18252944946289,33.46091842651367,34.05402374267578,22.57079315185547,1303468
2019-01-18,34.390113830566406,34.983219146728516,34.320919036865234,34.91402053833008,23.140789031982422,815065
2019-01-21,35.002986907958984,35.1809196472168,34.65700912475586,34.92390823364258,23.147342681884766,631414
2019-01-22,34.58781433105469,35.358848571777344,34.49885177612305,35.141380310058594,23.595518112182617,714033
2019-01-23,34.96344757080078,35.665287017822266,34.91402053833008,35.230342864990234,23.655248641967773,823468
2019-01-24,35.29954147338867,35.823448181152344,35.12160873413086,35.48735427856445,23.827817916870117,792948
2019-01-25,35.78390884399414,36.119998931884766,35.60597610473633,35.78390884399414,24.026941299438477,805738
2019-01-28,35.764137268066406,36.20896530151367,35.68505859375,35.85310363769531,24.073402404785156,679682
2019-01-29,35.78390884399414,35.81356430053711,35.200687408447266,35.586204528808594,23.894193649291992,694436
2019-01-30,35.586204528808594,35.80367660522461,35.210575103759766,35.80367660522461,24.040210723876953,2246422
2019-01-31,36.01126480102539,36.07057571411133,35.51700973510742,35.68505859375,23.960569381713867,666047
2019-02-01,35.892642974853516,36.01126480102539,35.62574768066406,35.88275909423828,24.093311309814453,559730
2019-02-04,35.81356430053711,35.96183776855469,35.131492614746094,35.44781494140625,23.80126953125,852301
2019-02-05,35.51700973510742,35.83333206176758,35.220458984375,35.793792724609375,24.033573150634766,747992
2019-02-06,35.78390884399414,35.78390884399414,35.358848571777344,35.38850402832031,23.761445999145508,676061
2019-02-07,35.358848571777344,35.665287017822266,34.785518646240234,34.785518646240234,23.356576919555664,1407855
2019-02-08,34.66689682006836,35.012874603271484,34.47908020019531,34.7657470703125,23.34330177307129,482305
2019-02-11,34.99310302734375,35.54666519165039,34.884368896484375,35.40827560424805,23.774723052978516,550155
2019-02-12,35.62574768066406,35.823448181152344,35.44781494140625,35.62574768066406,23.920745849609375,703614
2019-02-13,35.65540313720703,36.29793167114258,35.596092224121094,36.10022735595703,24.239328384399414,805179
2019-02-14,36.32758712768555,36.72298812866211,36.03103256225586,36.42643737792969,24.458362579345703,695387
2019-02-15,36.42643737792969,37.039310455322266,36.218849182128906,36.78229904174805,24.69730567932129,1075327
2019-02-18,36.811954498291016,37.11838912963867,36.703216552734375,37.11838912963867,24.922971725463867,577835
